Entry	Entry Name	Protein names	Organism	Length
P00937	TRPG_YEAST	Multifunctional tryptophan biosynthesis protein [Includes: Anthranilate synthase component 2 (AS) (EC 4.1.3.27) (Anthranilate synthase, glutamine amidotransferase component); Indole-3-glycerol phosphate synthase (EC 4.1.1.48) (PRAI)]	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	484
P00958	SYMC_YEAST	Methionine--tRNA ligase, cytoplasmic (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	751
P01120	RAS2_YEAST	Ras-like protein 2 (EC 3.6.5.2)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	322
P02829	HSP82_YEAST	ATP-dependent molecular chaperone HSP82 (82 kDa heat shock protein) (Heat shock protein Hsp90 heat-inducible isoform)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	709
P02992	EFTU_YEAST	Elongation factor Tu, mitochondrial (EF-Tu) (EC 3.6.5.3) (tufM)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	437
P03965	CARB_YEAST	Carbamoyl phosphate synthase arginine-specific large chain (CPS) (CPSase) (CPSase-arg) (EC 6.3.4.16) (EC 6.3.5.5) (Ammonium-dependent carbamoyl phosphate synthetase) (Arginine-specific carbamoyl phosphate synthetase, ammonia chain) (Carbamoyl phosphate synthase A) (CPS-A) (Glutamine-dependent carbamoyl phosphate synthetase)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1118
P04039	COX8_YEAST	Cytochrome c oxidase subunit 8, mitochondrial (Cytochrome c oxidase polypeptide VIII)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	78
P04817	CAN1_YEAST	Arginine permease CAN1 (Canavanine resistance protein 1)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	590
P05150	OTC_YEAST	Ornithine carbamoyltransferase (EC 2.1.3.3) (Ornithine transcarbamylase) (OTCase)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	338
P05318	RLA1_YEAST	Large ribosomal subunit protein P1A (P1A) (60S acidic ribosomal protein P1-alpha) (A1) (L12eIIA) (YP1alpha)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	106
P05319	RLA2_YEAST	Large ribosomal subunit protein P2A (P2A) (60S acidic ribosomal protein P2-alpha) (A2) (L12eIB) (L44) (YP2alpha)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	106
P05375	PLMT_YEAST	Phosphatidyl-N-methylethanolamine N-methyltransferase (EC 2.1.1.17) (EC 2.1.1.71) (Overproducer of inositol protein 3) (Phospholipid methyltransferase) (PLMT)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	206
P05737	RL7A_YEAST	Large ribosomal subunit protein uL30A (60S ribosomal protein L7-A) (L6) (RP11) (YL8)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	244
P05740	RL17A_YEAST	Large ribosomal subunit protein uL22A (60S ribosomal protein L17-A) (L20A) (YL17)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	184
P05748	RL15A_YEAST	Large ribosomal subunit protein eL15A (60S ribosomal protein L15-A) (L13) (RP15R) (YL10) (YP18)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	204
P05756	RS13_YEAST	Small ribosomal subunit protein uS15 (40S ribosomal protein S13) (S27a) (YS15)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	151
P06101	CDC37_YEAST	Hsp90 co-chaperone Cdc37 (Cell division control protein 37) (Hsp90 chaperone protein kinase-targeting subunit)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	506
P06245	KAPB_YEAST	cAMP-dependent protein kinase type 2 (PKA 2) (EC 2.7.11.11)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	380
P06780	RHO1_YEAST	GTP-binding protein RHO1 (EC 3.6.5.2) (Rho-type GTPase 1)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	209
P06782	SNF1_YEAST	Carbon catabolite-derepressing protein kinase (EC 2.7.11.1) (Sucrose nonfermentating protein 1)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	633
P06843	SPT2_YEAST	Protein SPT2 (Negative regulator of Ty transcription)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	333
P07213	TOM70_YEAST	Mitochondrial import receptor subunit TOM70 (70 kDa mitochondrial outer membrane protein) (Translocase of outer membrane 70 kDa subunit)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	617
P07260	IF4E_YEAST	Eukaryotic translation initiation factor 4E (eIF-4E) (eIF4E) (eIF-4F 25 kDa subunit) (mRNA cap-binding protein)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	213
P07264	LEUC_YEAST	3-isopropylmalate dehydratase (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	779
P07267	CARP_YEAST	Saccharopepsin (EC 3.4.23.25) (Aspartate protease) (PrA) (Proteinase A) (Carboxypeptidase Y-deficient protein 4) (Proteinase YSCA)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	405
P07277	ERG12_YEAST	Mevalonate kinase (MK) (MvK) (EC 2.7.1.36) (Ergosterol biosynthesis protein 12) (Regulation of autonomous replication protein 1)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	443
P07280	RS19A_YEAST	Small ribosomal subunit protein eS19A (40S ribosomal protein S19-A) (RP55A) (S16a) (YP45) (YS16A)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	144
P07834	CDC4_YEAST	Cell division control protein 4 (E3 ubiquitin ligase complex SCF subunit CDC4) (F-box protein CDC4)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	779
P07866	LTE1_YEAST	Guanine nucleotide exchange factor LTE1 (Low temperature essential protein 1)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1435
P07991	OAT_YEAST	Ornithine aminotransferase (OTAse) (EC 2.6.1.13) (Ornithine--oxo-acid aminotransferase)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	424
P08018	PBS2_YEAST	MAP kinase kinase PBS2 (EC 2.7.12.2) (Polymyxin B resistance protein 2) (Suppressor of fluoride sensitivity 4)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	668
P08425	SYFM_YEAST	Phenylalanine--tRNA ligase, mitochondrial (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase) (PheRS)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	469
P08456	PSS_YEAST	CDP-diacylglycerol--serine O-phosphatidyltransferase (EC 2.7.8.8) (Phosphatidylserine synthase) (PSS)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	276
P08524	ERG20_YEAST	Farnesyl pyrophosphate synthase (FPP synthase) (FPS) (EC 2.5.1.10) ((2E,6E)-farnesyl diphosphate synthase) (Dimethylallyltranstransferase) (EC 2.5.1.1) (Farnesyl diphosphate synthase) (Geranyltranstransferase)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	352
P08525	QCR8_YEAST	Cytochrome b-c1 complex subunit 8, mitochondrial (Complex III subunit 8) (Complex III subunit VII) (Ubiquinol-cytochrome c oxidoreductase subunit 8) (Ubiquinol-cytochrome c reductase complex 11 kDa protein) (Ubiquinone-binding protein QP-C)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	94
P08679	CISY2_YEAST	Citrate synthase, peroxisomal (EC 2.3.3.16)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	460
P08964	MYO1_YEAST	Myosin-1 (Type II myosin)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1928
P09232	PRTB_YEAST	Cerevisin (EC 3.4.21.48) (Proteinase YSCB) (Vacuolar protease B) (PrB)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	635
P09435	HSP73_YEAST	Heat shock protein SSA3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	649
P09620	KEX1_YEAST	Pheromone-processing carboxypeptidase KEX1 (EC 3.4.16.6) (Carboxypeptidase D) (Killer expression defective protein 1)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	729
P09798	CDC16_YEAST	Anaphase-promoting complex subunit CDC16 (Cell division control protein 16)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	840
P09938	RIR2_YEAST	Ribonucleoside-diphosphate reductase small chain 1 (EC 1.17.4.1) (Ribonucleotide reductase R2 subunit 1) (Ribonucleotide reductase small subunit 1)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	399
P0C0T4	RS25B_YEAST	Small ribosomal subunit protein eS25B (40S ribosomal protein S25-B) (RP45) (S31) (YS23)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	108
P0C0V8	RS21A_YEAST	Small ribosomal subunit protein eS21A (40S ribosomal protein S21-A) (S26) (YS25)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	87
P0C0W9	RL11A_YEAST	Large ribosomal subunit protein uL5A (60S ribosomal protein L11-A) (L16) (RP39) (YL22)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	174
P0C2J0	YP13B_YEAST	Transposon Ty1-PR2 Gag-Pol polyprotein (Gag-Pol-p199) (TY1A-TY1B) (Transposon Ty1 TYA-TYB polyprotein) (p190) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Ty1 protease (PR) (EC 3.4.23.-) (Pol-p20) (p23); Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1756
P0C2J1	YP14B_YEAST	Transposon Ty1-PR3 Gag-Pol polyprotein (Gag-Pol-p199) (TY1A-TY1B) (Transposon Ty1 TYA-TYB polyprotein) (p190) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Ty1 protease (PR) (EC 3.4.23.-) (Pol-p20) (p23); Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1755
P0C5R9	RNK_YEAST	V-type proton ATPase subunit f (V-ATPase subunit f)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	85
P0CT04	IPB2_YEAST	Protease B inhibitor 2 (Proteinase inhibitor I(B)2)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	75
P0CX31	RS24A_YEAST	Small ribosomal subunit protein eS24A (40S ribosomal protein S24-A) (RP50)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	135
P0CX32	RS24B_YEAST	Small ribosomal subunit protein eS24B (40S ribosomal protein S24-B) (RP50)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	135
P0CX36	RS4B_YEAST	Small ribosomal subunit protein eS4B (40S ribosomal protein S4-B) (RP5) (S7) (YS6)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	261
P0CX44	RL1B_YEAST	Large ribosomal subunit protein uL1B (60S ribosomal protein L1-B) (L10a)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	217
P0CX47	RS11A_YEAST	Small ribosomal subunit protein uS17A (40S ribosomal protein S11-A) (RP41) (S18) (YS12)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	156
P0CX50	RL18B_YEAST	Large ribosomal subunit protein eL18B (60S ribosomal protein L18-B) (RP28)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	186
P0CX56	RS18B_YEAST	Small ribosomal subunit protein uS13B (40S ribosomal protein S18-B)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	146
P0CX77	ASP22_YEAST	L-asparaginase 2-2 (EC 3.5.1.1) (L-asparaginase II) (L-asparagine amidohydrolase II) (ASP II)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	362
P0CY06	MTAL1_YEAST	Mating-type protein ALPHA1 (MATalpha1 protein) (Alpha-1 activator)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	175
P0CZ17	ASP21_YEAST	L-asparaginase 2-1 (EC 3.5.1.1) (L-asparaginase II) (L-asparagine amidohydrolase II) (ASP II)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	362
P10614	CP51_YEAST	Lanosterol 14-alpha demethylase CYP51 (EC 1.14.14.154) (Cytochrome P450 51) (Cytochrome P450-14DM) (Cytochrome P450-LIA1) (CYPLI) (Ergosterol biosynthetic protein 11) (Lanosterol C14-C32 lyase) (Sterol 14-alpha demethylase)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	530
P11154	PYC1_YEAST	Pyruvate carboxylase 1 (EC 6.4.1.1) (Pyruvic carboxylase 1) (PCB 1)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1178
P11491	PPB_YEAST	Repressible alkaline phosphatase (EC 3.1.3.1) (Fructose-2,6-bisphosphate 6-phosphatase) (EC 3.1.3.54) (Membrane-bound repressible alkaline phosphatase) [Cleaved into: Soluble alkaline phosphatase (EC 3.1.7.6) (Farnesyl diphosphatase)]	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	566
P11709	BIK1_YEAST	Nuclear fusion protein BIK1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	440
P11710	FUS1_YEAST	Nuclear fusion protein FUS1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	512
P11747	TAF13_YEAST	Transcription initiation factor TFIID subunit 13 (Function unknown 81 protein) (TAFII-19) (TAFII19) (TBP-associated factor 13) (TBP-associated factor 19 kDa)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	167
P11938	RAP1_YEAST	DNA-binding protein RAP1 (Repressor/activator site-binding protein) (SBF-E) (TUF)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	827
P12709	G6PI_YEAST	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (D-hexose-6-phosphate anomerase) (Glucose-6-phosphate C2-epimerase) (EC 5.1.3.-) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	554
P12753	RAD50_YEAST	DNA repair protein RAD50 (EC 3.6.-.-) (153 kDa protein)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1312
P13099	TOP3_YEAST	DNA topoisomerase 3 (EC 5.6.2.1) (DNA topoisomerase III)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	656
P14737	RAD9_YEAST	DNA repair protein RAD9	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1309
P14741	EI2BA_YEAST	Translation initiation factor eIF2B subunit alpha (GCD complex subunit GCN3) (Guanine nucleotide exchange factor subunit GCN3) (Translational activator GCN3) (eIF2B GDP-GTP exchange factor subunit alpha)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	305
P14747	PP2B2_YEAST	Serine/threonine-protein phosphatase 2B catalytic subunit A2 (EC 3.1.3.16) (Calcineurin A2) (Calmodulin-binding protein 2)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	604
P14832	CYPH_YEAST	Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8) (Cyclophilin) (CPH) (Cyclosporin A-binding protein) (PPI-II) (Rotamase)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	162
P14906	SEC63_YEAST	Protein translocation protein SEC63 (Protein NPL1) (Sec62/63 complex 73 kDa subunit)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	663
P15442	GCN2_YEAST	eIF-2-alpha kinase GCN2 (EC 2.7.11.1) (General control non-derepressible protein 2) (Serine/threonine-protein kinase GCN2)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1659
P15565	TRM1_YEAST	tRNA (guanine(26)-N(2))-dimethyltransferase, mitochondrial (EC 2.1.1.216) (tRNA 2,2-dimethylguanosine-26 methyltransferase) (tRNA(guanine-26,N(2)-N(2)) methyltransferase) (tRNA(m(2,2)G26)dimethyltransferase)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	570
P15625	SYFA_YEAST	Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	503
P16387	ODPA_YEAST	Pyruvate dehydrogenase E1 component subunit alpha, mitochondrial (EC 1.2.4.1) (Pyruvate dehydrogenase complex component E1 alpha) (PDHE1-A)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	420
P16451	ODPX_YEAST	Pyruvate dehydrogenase complex protein X component, mitochondrial (Dihydrolipoamide dehydrogenase-binding protein of pyruvate dehydrogenase complex) (E3-binding protein) (Pyruvate dehydrogenase complex component E3BP)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	410
P16522	CDC23_YEAST	Anaphase-promoting complex subunit CDC23 (Cell division control protein 23)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	626
P16622	HEMH_YEAST	Ferrochelatase, mitochondrial (EC 4.98.1.1) (Heme synthase) (Protoheme ferro-lyase)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	393
P16661	ALG1_YEAST	Chitobiosyldiphosphodolichol beta-mannosyltransferase (EC 2.4.1.142) (Asparagine-linked glycosylation protein 1) (Beta-1,4-mannosyltransferase) (GDP-Man:GlcNAc2-PP-dolichol mannosyltransferase) (GDP-mannose-dolichol diphosphochitobiose mannosyltransferase)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	449
P16664	RGP1_YEAST	Guanine nucleotide exchange factor subunit RGP1 (Reduced growth phenotype protein 1) (Rgp1p)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	663
P17064	FCY2_YEAST	Purine-cytosine permease FCY2 (PCP FCY2) (Cytosine/purine transport protein FCY2) (Fluorocytosine resistance protein 2)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	533
P17695	GLRX2_YEAST	Glutaredoxin-2 (EC 1.11.1.9) (EC 2.5.1.18) (Glutathione-dependent oxidoreductase 2) (Thioltransferase)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	143
P17709	HXKG_YEAST	Glucokinase-1 (EC 2.7.1.2) (Glucose kinase 1) (GLK-1)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	500
P18888	SNF6_YEAST	Transcription regulatory protein SNF6 (SWI/SNF complex component SNF6)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	332
P19262	ODO2_YEAST	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial (DLST) (EC 2.3.1.61) (2-oxoglutarate dehydrogenase complex component E2) (OGDC-E2) (OGDHC subunit E2) (Alpha-ketoglutarate dehydrogenase subunit E2) (alpha-KGDHC subunit E2) (Dihydrolipoamide succinyltransferase component of 2-oxoglutarate dehydrogenase complex)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	463
P19658	EXO70_YEAST	Exocyst complex component EXO70 (Exocyst complex protein of 70 kDa)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	623
P19659	MED15_YEAST	Mediator of RNA polymerase II transcription subunit 15 (Autonomous replication regulatory protein 3) (Basal expression activator protein 1) (Defective silencing suppressor protein 4) (Mediator complex subunit 15) (Transcription regulatory protein GAL11) (Ty insertion suppressor protein 13)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1081
P20053	PRP4_YEAST	U4/U6 small nuclear ribonucleoprotein PRP4 (Pre-mRNA-processing protein 4)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	465
P20133	PGTB2_YEAST	Geranylgeranyl transferase type-2 subunit beta (EC 2.5.1.60) (Geranylgeranyl transferase type II subunit beta) (GGTase-II-beta) (Type II protein geranyl-geranyltransferase subunit beta) (PGGT) (YPT1/SEC4 proteins geranylgeranyltransferase subunit beta)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	325
P20424	SRP54_YEAST	Signal recognition particle subunit SRP54 (EC 3.6.5.4) (Signal recognition particle 54 kDa protein homolog)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	541
P20447	DBP3_YEAST	ATP-dependent RNA helicase DBP3 (EC 3.6.4.13) (DEAD box protein 3) (Helicase CA3)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	523
P20449	DBP5_YEAST	ATP-dependent RNA helicase DBP5 (EC 3.6.4.13) (DEAD box protein 5) (Helicase CA5/6) (Ribonucleic acid-trafficking protein 8)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	482
P20459	IF2A_YEAST	Eukaryotic translation initiation factor 2 subunit alpha (eIF-2-alpha) (eIF-2A) (eIF-2alpha) (eIF2-alpha)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	304
P20676	NUP1_YEAST	Nucleoporin NUP1 (Nuclear pore protein NUP1)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1076
P20840	SAG1_YEAST	Alpha-agglutinin (AG-alpha-1)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	650
P20967	ODO1_YEAST	2-oxoglutarate dehydrogenase, mitochondrial (OGDH) (EC 1.2.4.2) (2-oxoglutarate dehydrogenase complex component E1) (OGDC-E1) (OGDHC subunit E1) (Alpha-ketoglutarate dehydrogenase complex subunit E1) (alpha-KGDHC subunit E1)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1014
P21192	ACE2_YEAST	Metallothionein expression activator	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	770
P21373	UTR1_YEAST	NAD(+) kinase (EC 2.7.1.23) (Unknown transcript 1 protein)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	530
P21538	REB1_YEAST	DNA-binding protein REB1 (QBP)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	810
P21651	RE107_YEAST	Recombination protein 107 (Meiotic recombination protein 2)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	314
P21957	OPI1_YEAST	Transcriptional repressor OPI1 (Negative regulator of phospholipid biosynthesis) (Overproducer of inositol protein 1)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	404
P22137	CLH_YEAST	Clathrin heavy chain	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1653
P22138	RPA2_YEAST	DNA-directed RNA polymerase I subunit RPA135 (EC 2.7.7.6) (DNA-directed RNA polymerase I 135 kDa polypeptide) (A135) (DNA-directed RNA polymerase I polypeptide 2) (RNA polymerase I subunit 2)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1203
P22139	RPAB5_YEAST	DNA-directed RNA polymerases I, II, and III subunit RPABC5 (RNA polymerases I, II, and III subunit ABC5) (ABC10-beta) (ABC8) (DNA-directed RNA polymerases I, II, and III 8.3 kDa polypeptide)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	70
P22149	AFT1_YEAST	Iron-regulated transcriptional activator AFT1 (Activator of iron transcription protein 1)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	690
P22204	DBF2_YEAST	Cell cycle protein kinase DBF2 (EC 2.7.11.1) (Dumbbell forming protein 2)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	572
P22219	VPS15_YEAST	Serine/threonine-protein kinase VPS15 (EC 2.7.11.1) (Golgi-retention defective mutant protein 8) (Vacuolar protein sorting-associated protein 15)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1454
